"","Group","Country","SubScenario","Vari","value"
"1","D1","Belgium","Explicit","Total_Effect",0.0021643432828598
"2","D1","Brazil","Explicit","Total_Effect",0.00293309068450662
"3","D1","China","Explicit","Total_Effect",0.00511471126517542
"4","D1","Germany","Explicit","Total_Effect",0.00520248827543391
"5","D1","Denmark","Explicit","Total_Effect",0.0115803805128365
"6","D1","Spain","Explicit","Total_Effect",0.000420965680036749
"7","D1","Finland","Explicit","Total_Effect",0.0065565638070116
"8","D1","France","Explicit","Total_Effect",0.00205231774321018
"9","D1","United Kingdom","Explicit","Total_Effect",0.00669506535513938
"10","D1","Indonesia","Explicit","Total_Effect",0.0628420931550329
"11","D1","India","Explicit","Total_Effect",0.0044646271335862
"12","D1","Ireland","Explicit","Total_Effect",0.00111393689168938
"13","D1","Italy","Explicit","Total_Effect",0.00205443112054271
"14","D1","Japan","Explicit","Total_Effect",0.00756401752645351
"15","D1","Luxembourg","Explicit","Total_Effect",0.0022506069193435
"16","D1","Mexico","Explicit","Total_Effect",0.00626534996867801
"17","D1","Russian Federation","Explicit","Total_Effect",0.0374438907442619
"18","D1","Turkiye","Explicit","Total_Effect",0.013665739097957
"19","D1","United States","Explicit","Total_Effect",0.000191727566167444
"20","D1","South Africa","Explicit","Total_Effect",0.00845227195929891
"21","D1","Belgium","Implicit_prod","Total_Effect",0.00240549325534962
"22","D1","Brazil","Implicit_prod","Total_Effect",0.0509845762026498
"23","D1","China","Implicit_prod","Total_Effect",0.0254964907247054
"24","D1","Germany","Implicit_prod","Total_Effect",0.00526120960530325
"25","D1","Denmark","Implicit_prod","Total_Effect",0.00257197533506333
"26","D1","Spain","Implicit_prod","Total_Effect",0.00390556500083473
"27","D1","Finland","Implicit_prod","Total_Effect",0.00112529363001537
"28","D1","France","Implicit_prod","Total_Effect",0.00384368308947605
"29","D1","United Kingdom","Implicit_prod","Total_Effect",0.00463915899777879
"30","D1","Indonesia","Implicit_prod","Total_Effect",0.0578391868568621
"31","D1","India","Implicit_prod","Total_Effect",0.0587740983097288
"32","D1","Ireland","Implicit_prod","Total_Effect",0.00293923311676446
"33","D1","Italy","Implicit_prod","Total_Effect",0.00804744729774404
"34","D1","Japan","Implicit_prod","Total_Effect",0.0254658202467618
"35","D1","Luxembourg","Implicit_prod","Total_Effect",0.00116394300589207
"36","D1","Mexico","Implicit_prod","Total_Effect",0.0401272327636371
"37","D1","Russian Federation","Implicit_prod","Total_Effect",0.0849819113290106
"38","D1","Turkiye","Implicit_prod","Total_Effect",0.0159655818714779
"39","D1","United States","Implicit_prod","Total_Effect",0.0195599713064718
"40","D1","South Africa","Implicit_prod","Total_Effect",0.038240473419588
"41","D1","Belgium","Implicit_cons","Total_Effect",0.00224462945627639
"42","D1","Brazil","Implicit_cons","Total_Effect",0.0395055684015199
"43","D1","China","Implicit_cons","Total_Effect",0.00762226406093565
"44","D1","Germany","Implicit_cons","Total_Effect",0.00301398496895758
"45","D1","Denmark","Implicit_cons","Total_Effect",0.0014151973247138
"46","D1","Spain","Implicit_cons","Total_Effect",0.00150162786821899
"47","D1","Finland","Implicit_cons","Total_Effect",0.000272565168797566
"48","D1","France","Implicit_cons","Total_Effect",0.00290871148112549
"49","D1","United Kingdom","Implicit_cons","Total_Effect",0.00498338576712421
"50","D1","Indonesia","Implicit_cons","Total_Effect",0.0482643732653234
"51","D1","India","Implicit_cons","Total_Effect",0.0362242394569994
"52","D1","Ireland","Implicit_cons","Total_Effect",0.00359690020938898
"53","D1","Italy","Implicit_cons","Total_Effect",0.00443077172835672
"54","D1","Japan","Implicit_cons","Total_Effect",0.0102593738641011
"55","D1","Luxembourg","Implicit_cons","Total_Effect",0.00767384499243536
"56","D1","Mexico","Implicit_cons","Total_Effect",0.03399233562632
"57","D1","Russian Federation","Implicit_cons","Total_Effect",0.0298083272546076
"58","D1","Turkiye","Implicit_cons","Total_Effect",0.00852419960199758
"59","D1","United States","Implicit_cons","Total_Effect",0.00413108395128064
"60","D1","South Africa","Implicit_cons","Total_Effect",0.0410704387692164
"61","D1","Belgium","Null","Total_Effect",NA
"62","D1","Brazil","Null","Total_Effect",NA
"63","D1","China","Null","Total_Effect",NA
"64","D1","Germany","Null","Total_Effect",NA
"65","D1","Denmark","Null","Total_Effect",NA
"66","D1","Spain","Null","Total_Effect",NA
"67","D1","Finland","Null","Total_Effect",NA
"68","D1","France","Null","Total_Effect",NA
"69","D1","United Kingdom","Null","Total_Effect",NA
"70","D1","Indonesia","Null","Total_Effect",NA
"71","D1","India","Null","Total_Effect",NA
"72","D1","Ireland","Null","Total_Effect",NA
"73","D1","Italy","Null","Total_Effect",NA
"74","D1","Japan","Null","Total_Effect",NA
"75","D1","Luxembourg","Null","Total_Effect",NA
"76","D1","Mexico","Null","Total_Effect",NA
"77","D1","Russian Federation","Null","Total_Effect",NA
"78","D1","Turkiye","Null","Total_Effect",NA
"79","D1","United States","Null","Total_Effect",NA
"80","D1","South Africa","Null","Total_Effect",NA
