"","year","countryname","Group","TotalSub"
"1",2015,"Belgium","Coal",0
"2",2015,"Belgium","Fossil-based electricity",89.8963286802013
"3",2015,"Belgium","Natural gas",0
"4",2015,"Belgium","Petroleum",0
"5",2015,"Brazil","Coal",430.935949081566
"6",2015,"Brazil","Fossil-based electricity",0
"7",2015,"Brazil","Natural gas",344.473204887
"8",2015,"Brazil","Petroleum",2414.01799811386
"9",2015,"China","Coal",1431.71189787
"10",2015,"China","Fossil-based electricity",0
"11",2015,"China","Natural gas",5816.19069596673
"12",2015,"China","Petroleum",6613.75194348351
"13",2015,"Denmark","Coal",0
"14",2015,"Denmark","Fossil-based electricity",1275.01593627828
"15",2015,"Denmark","Natural gas",0
"16",2015,"Denmark","Petroleum",0
"17",2015,"Finland","Coal",0
"18",2015,"Finland","Fossil-based electricity",0
"19",2015,"Finland","Natural gas",0.5493934995572
"20",2015,"Finland","Petroleum",0
"21",2015,"France","Coal",0
"22",2015,"France","Fossil-based electricity",1049.69026197747
"23",2015,"France","Natural gas",60.518160265
"24",2015,"France","Petroleum",25.28145589
"25",2015,"Germany","Coal",1504.80632731
"26",2015,"Germany","Fossil-based electricity",1593.26282502
"27",2015,"Germany","Natural gas",59.969171276
"28",2015,"Germany","Petroleum",63.38112831
"29",2015,"India","Coal",33.974855862
"30",2015,"India","Fossil-based electricity",121.971078098707
"31",2015,"India","Natural gas",3.411230738
"32",2015,"India","Petroleum",7822.26656023117
"33",2015,"Indonesia","Coal",903.237901637652
"34",2015,"Indonesia","Fossil-based electricity",2527.79326371827
"35",2015,"Indonesia","Natural gas",1958.04754304257
"36",2015,"Indonesia","Petroleum",4177.70004342211
"37",2015,"Ireland","Coal",0
"38",2015,"Ireland","Fossil-based electricity",0
"39",2015,"Ireland","Natural gas",0
"40",2015,"Ireland","Petroleum",0
"41",2015,"Italy","Coal",0
"42",2015,"Italy","Fossil-based electricity",0
"43",2015,"Italy","Natural gas",73.050306958
"44",2015,"Italy","Petroleum",13.582098348
"45",2015,"Japan","Coal",0
"46",2015,"Japan","Fossil-based electricity",5282.91066056142
"47",2015,"Japan","Natural gas",781.116458932
"48",2015,"Japan","Petroleum",154.354514021
"49",2015,"Luxembourg","Coal",0
"50",2015,"Luxembourg","Fossil-based electricity",368.247019262467
"51",2015,"Luxembourg","Natural gas",0
"52",2015,"Luxembourg","Petroleum",0
"53",2015,"Mexico","Coal",0
"54",2015,"Mexico","Fossil-based electricity",2053.96197854525
"55",2015,"Mexico","Natural gas",1314.12439934322
"56",2015,"Mexico","Petroleum",739.738929866256
"57",2015,"Russian Federation","Coal",25.759994167
"58",2015,"Russian Federation","Fossil-based electricity",31027.9305777508
"59",2015,"Russian Federation","Natural gas",11.705894206
"60",2015,"Russian Federation","Petroleum",6868.95763949507
"61",2015,"South Africa","Coal",0
"62",2015,"South Africa","Fossil-based electricity",421.787000552215
"63",2015,"South Africa","Natural gas",0
"64",2015,"South Africa","Petroleum",0
"65",2015,"Spain","Coal",65.480668472
"66",2015,"Spain","Fossil-based electricity",425.402007705
"67",2015,"Spain","Natural gas",0
"68",2015,"Spain","Petroleum",0
"69",2015,"Turkiye","Coal",346.467934925563
"70",2015,"Turkiye","Fossil-based electricity",214.829781786276
"71",2015,"Turkiye","Natural gas",3298.29721623155
"72",2015,"Turkiye","Petroleum",122.078192142
"73",2015,"United Kingdom","Coal",0
"74",2015,"United Kingdom","Fossil-based electricity",0
"75",2015,"United Kingdom","Natural gas",2119.4951446
"76",2015,"United Kingdom","Petroleum",4491.13211643
"77",2015,"United States","Coal",425.802559949
"78",2015,"United States","Fossil-based electricity",1.3799624
"79",2015,"United States","Natural gas",987.53286889
"80",2015,"United States","Petroleum",689.50184464
"81",2016,"Belgium","Coal",0
"82",2016,"Belgium","Fossil-based electricity",0
"83",2016,"Belgium","Natural gas",0
"84",2016,"Belgium","Petroleum",0
"85",2016,"Brazil","Coal",284.199588848348
"86",2016,"Brazil","Fossil-based electricity",0
"87",2016,"Brazil","Natural gas",346.529802798
"88",2016,"Brazil","Petroleum",2558.11718038548
"89",2016,"China","Coal",945.23066624
"90",2016,"China","Fossil-based electricity",0
"91",2016,"China","Natural gas",4851.08388383392
"92",2016,"China","Petroleum",7093.0418433329
"93",2016,"Denmark","Coal",0
"94",2016,"Denmark","Fossil-based electricity",1097.08095886224
"95",2016,"Denmark","Natural gas",0
"96",2016,"Denmark","Petroleum",0
"97",2016,"Finland","Coal",0
"98",2016,"Finland","Fossil-based electricity",0
"99",2016,"Finland","Natural gas",0
"100",2016,"Finland","Petroleum",0
"101",2016,"France","Coal",0
"102",2016,"France","Fossil-based electricity",0
"103",2016,"France","Natural gas",99.350302201
"104",2016,"France","Petroleum",44.993583265
"105",2016,"Germany","Coal",1769.87713121
"106",2016,"Germany","Fossil-based electricity",1539.07660407
"107",2016,"Germany","Natural gas",53.763425891
"108",2016,"Germany","Petroleum",67.29586375
"109",2016,"India","Coal",47.375107849
"110",2016,"India","Fossil-based electricity",1169.10223239791
"111",2016,"India","Natural gas",19.93773307
"112",2016,"India","Petroleum",5365.88137286169
"113",2016,"Indonesia","Coal",517.708384347153
"114",2016,"Indonesia","Fossil-based electricity",2006.17426012291
"115",2016,"Indonesia","Natural gas",4925.49906711613
"116",2016,"Indonesia","Petroleum",2413.18254745117
"117",2016,"Ireland","Coal",0
"118",2016,"Ireland","Fossil-based electricity",0
"119",2016,"Ireland","Natural gas",50.433267944
"120",2016,"Ireland","Petroleum",0
"121",2016,"Italy","Coal",0
"122",2016,"Italy","Fossil-based electricity",0
"123",2016,"Italy","Natural gas",41.426380461
"124",2016,"Italy","Petroleum",11.183051873
"125",2016,"Japan","Coal",0
"126",2016,"Japan","Fossil-based electricity",10835.5657562588
"127",2016,"Japan","Natural gas",515.040733729
"128",2016,"Japan","Petroleum",95.675153654
"129",2016,"Luxembourg","Coal",0
"130",2016,"Luxembourg","Fossil-based electricity",434.704378184308
"131",2016,"Luxembourg","Natural gas",0
"132",2016,"Luxembourg","Petroleum",0
"133",2016,"Mexico","Coal",0
"134",2016,"Mexico","Fossil-based electricity",2441.22159219166
"135",2016,"Mexico","Natural gas",1231.59374525
"136",2016,"Mexico","Petroleum",772.411302588222
"137",2016,"Russian Federation","Coal",26.548933197
"138",2016,"Russian Federation","Fossil-based electricity",16315.813213461
"139",2016,"Russian Federation","Natural gas",14.142254138
"140",2016,"Russian Federation","Petroleum",8238.67986054992
"141",2016,"South Africa","Coal",0
"142",2016,"South Africa","Fossil-based electricity",1018.26441455707
"143",2016,"South Africa","Natural gas",0
"144",2016,"South Africa","Petroleum",0
"145",2016,"Spain","Coal",74.729321736
"146",2016,"Spain","Fossil-based electricity",242.313680545
"147",2016,"Spain","Natural gas",0
"148",2016,"Spain","Petroleum",0
"149",2016,"Turkiye","Coal",412.106635248098
"150",2016,"Turkiye","Fossil-based electricity",734.611799771044
"151",2016,"Turkiye","Natural gas",2034.83221981554
"152",2016,"Turkiye","Petroleum",155.545276313
"153",2016,"United Kingdom","Coal",0
"154",2016,"United Kingdom","Fossil-based electricity",0
"155",2016,"United Kingdom","Natural gas",1318.61036114
"156",2016,"United Kingdom","Petroleum",2741.54224824
"157",2016,"United States","Coal",336.870156785
"158",2016,"United States","Fossil-based electricity",1.257672311
"159",2016,"United States","Natural gas",779.841083156
"160",2016,"United States","Petroleum",0
"161",2017,"Belgium","Coal",0
"162",2017,"Belgium","Fossil-based electricity",0
"163",2017,"Belgium","Natural gas",0
"164",2017,"Belgium","Petroleum",0
"165",2017,"Brazil","Coal",262.592254704378
"166",2017,"Brazil","Fossil-based electricity",0
"167",2017,"Brazil","Natural gas",405.832960642
"168",2017,"Brazil","Petroleum",2513.00309265743
"169",2017,"China","Coal",563.427027184
"170",2017,"China","Fossil-based electricity",26776.8996082036
"171",2017,"China","Natural gas",5436.5477339464
"172",2017,"China","Petroleum",6179.11291323708
"173",2017,"Denmark","Coal",0
"174",2017,"Denmark","Fossil-based electricity",1367.65711458621
"175",2017,"Denmark","Natural gas",41.033999047
"176",2017,"Denmark","Petroleum",21.526596357
"177",2017,"Finland","Coal",0
"178",2017,"Finland","Fossil-based electricity",370.90567833614
"179",2017,"Finland","Natural gas",0
"180",2017,"Finland","Petroleum",0
"181",2017,"France","Coal",0
"182",2017,"France","Fossil-based electricity",0
"183",2017,"France","Natural gas",101.419791866
"184",2017,"France","Petroleum",49.357441994
"185",2017,"Germany","Coal",1579.35153301
"186",2017,"Germany","Fossil-based electricity",1411.24396872
"187",2017,"Germany","Natural gas",59.132024349
"188",2017,"Germany","Petroleum",53.162869886
"189",2017,"India","Coal",70.356384307
"190",2017,"India","Fossil-based electricity",12517.5050831259
"191",2017,"India","Natural gas",0.64640344
"192",2017,"India","Petroleum",5178.62214747823
"193",2017,"Indonesia","Coal",568.13297949983
"194",2017,"Indonesia","Fossil-based electricity",4468.39048860016
"195",2017,"Indonesia","Natural gas",2110.53497338359
"196",2017,"Indonesia","Petroleum",6722.50943120791
"197",2017,"Ireland","Coal",0
"198",2017,"Ireland","Fossil-based electricity",0
"199",2017,"Ireland","Natural gas",72.792199517
"200",2017,"Ireland","Petroleum",0
"201",2017,"Italy","Coal",0
"202",2017,"Italy","Fossil-based electricity",0
"203",2017,"Italy","Natural gas",42.783192176
"204",2017,"Italy","Petroleum",12.926979356
"205",2017,"Japan","Coal",0
"206",2017,"Japan","Fossil-based electricity",15574.6077456221
"207",2017,"Japan","Natural gas",572.116523315
"208",2017,"Japan","Petroleum",99.481126268
"209",2017,"Luxembourg","Coal",0
"210",2017,"Luxembourg","Fossil-based electricity",481.281061759122
"211",2017,"Luxembourg","Natural gas",10.414155071907
"212",2017,"Luxembourg","Petroleum",0
"213",2017,"Mexico","Coal",0
"214",2017,"Mexico","Fossil-based electricity",3530.52281238463
"215",2017,"Mexico","Natural gas",48.3564352539447
"216",2017,"Mexico","Petroleum",833.54332405622
"217",2017,"Russian Federation","Coal",59.620367622
"218",2017,"Russian Federation","Fossil-based electricity",22989.6079446752
"219",2017,"Russian Federation","Natural gas",23.336616776
"220",2017,"Russian Federation","Petroleum",11702.16417308
"221",2017,"South Africa","Coal",0
