"","year","countryname","Group","TotalSub"
"1",2015,"Belgium","Coal",1083.25363484067
"2",2015,"Belgium","Fossil-based electricity",89.8963286802013
"3",2015,"Belgium","Natural gas",301.519401967546
"4",2015,"Belgium","Petroleum",8212.41735691616
"5",2015,"Brazil","Coal",6091.91304451388
"6",2015,"Brazil","Fossil-based electricity",0
"7",2015,"Brazil","Natural gas",410.565414527449
"8",2015,"Brazil","Petroleum",64873.2936666006
"9",2015,"China","Coal",893801.142430576
"10",2015,"China","Fossil-based electricity",0
"11",2015,"China","Natural gas",13307.6015847329
"12",2015,"China","Petroleum",187953.368271342
"13",2015,"Denmark","Coal",352.007441436285
"14",2015,"Denmark","Fossil-based electricity",1275.01593627828
"15",2015,"Denmark","Natural gas",0
"16",2015,"Denmark","Petroleum",0
"17",2015,"Finland","Coal",746.721730535317
"18",2015,"Finland","Fossil-based electricity",0
"19",2015,"Finland","Natural gas",8.86797951818398
"20",2015,"Finland","Petroleum",0
"21",2015,"France","Coal",2421.11711608598
"22",2015,"France","Fossil-based electricity",1049.69026197747
"23",2015,"France","Natural gas",60.518160265
"24",2015,"France","Petroleum",39900.933397659
"25",2015,"Germany","Coal",25783.28738759
"26",2015,"Germany","Fossil-based electricity",1593.26282502
"27",2015,"Germany","Natural gas",59.969171276
"28",2015,"Germany","Petroleum",45275.601683554
"29",2015,"India","Coal",97729.776221454
"30",2015,"India","Fossil-based electricity",121.971078098707
"31",2015,"India","Natural gas",4471.32020960265
"32",2015,"India","Petroleum",60549.387857217
"33",2015,"Indonesia","Coal",13017.6629492439
"34",2015,"Indonesia","Fossil-based electricity",2527.79326371827
"35",2015,"Indonesia","Natural gas",5953.69477510038
"36",2015,"Indonesia","Petroleum",54831.1430065371
"37",2015,"Ireland","Coal",1556.21790779517
"38",2015,"Ireland","Fossil-based electricity",0
"39",2015,"Ireland","Natural gas",0
"40",2015,"Ireland","Petroleum",49.916712338389
"41",2015,"Italy","Coal",2868.01078440251
"42",2015,"Italy","Fossil-based electricity",0
"43",2015,"Italy","Natural gas",73.050306958
"44",2015,"Italy","Petroleum",16648.1896510632
"45",2015,"Japan","Coal",38541.9469556088
"46",2015,"Japan","Fossil-based electricity",5282.91066056142
"47",2015,"Japan","Natural gas",781.116458932
"48",2015,"Japan","Petroleum",136951.354913266
"49",2015,"Luxembourg","Coal",13.8411919627875
"50",2015,"Luxembourg","Fossil-based electricity",368.247019262467
"51",2015,"Luxembourg","Natural gas",66.0447759840638
"52",2015,"Luxembourg","Petroleum",1894.04191511981
"53",2015,"Mexico","Coal",3326.82250888108
"54",2015,"Mexico","Fossil-based electricity",2053.96197854525
"55",2015,"Mexico","Natural gas",9454.1233465848
"56",2015,"Mexico","Petroleum",53000.5657688354
"57",2015,"Russian Federation","Coal",93506.755274767
"58",2015,"Russian Federation","Fossil-based electricity",31027.9305777508
"59",2015,"Russian Federation","Natural gas",44016.7788956314
"60",2015,"Russian Federation","Petroleum",134043.513030331
"61",2015,"South Africa","Coal",35387.1646805217
"62",2015,"South Africa","Fossil-based electricity",421.787000552215
"63",2015,"South Africa","Natural gas",0
"64",2015,"South Africa","Petroleum",6738.62899216079
"65",2015,"Spain","Coal",5362.42305635401
"66",2015,"Spain","Fossil-based electricity",425.402007705
"67",2015,"Spain","Natural gas",0
"68",2015,"Spain","Petroleum",10474.3704012118
"69",2015,"Turkiye","Coal",27494.5040637545
"70",2015,"Turkiye","Fossil-based electricity",214.829781786276
"71",2015,"Turkiye","Natural gas",7024.15846357498
"72",2015,"Turkiye","Petroleum",2851.11698419674
"73",2015,"United Kingdom","Coal",14366.5864182232
"74",2015,"United Kingdom","Fossil-based electricity",0
"75",2015,"United Kingdom","Natural gas",2909.4283013287
"76",2015,"United Kingdom","Petroleum",21904.7491793329
"77",2015,"United States","Coal",156796.105372301
"78",2015,"United States","Fossil-based electricity",1.3799624
"79",2015,"United States","Natural gas",59048.0711406936
"80",2015,"United States","Petroleum",446832.580261754
"81",2016,"Belgium","Coal",1021.54509903629
"82",2016,"Belgium","Fossil-based electricity",0
"83",2016,"Belgium","Natural gas",226.665314834991
"84",2016,"Belgium","Petroleum",4608.93893862897
"85",2016,"Brazil","Coal",5170.65723637543
"86",2016,"Brazil","Fossil-based electricity",0
"87",2016,"Brazil","Natural gas",406.450476103456
"88",2016,"Brazil","Petroleum",37428.9008428734
"89",2016,"China","Coal",911333.36244914
"90",2016,"China","Fossil-based electricity",0
"91",2016,"China","Natural gas",13171.3683511039
"92",2016,"China","Petroleum",215318.348676736
"93",2016,"Denmark","Coal",422.222993226618
"94",2016,"Denmark","Fossil-based electricity",1097.08095886224
"95",2016,"Denmark","Natural gas",0
"96",2016,"Denmark","Petroleum",0
"97",2016,"Finland","Coal",841.85315803192
"98",2016,"Finland","Fossil-based electricity",0
"99",2016,"Finland","Natural gas",5.32242872733426
"100",2016,"Finland","Petroleum",0
"101",2016,"France","Coal",2462.51907212037
"102",2016,"France","Fossil-based electricity",0
"103",2016,"France","Natural gas",99.350302201
"104",2016,"France","Petroleum",25996.5046930261
"105",2016,"Germany","Coal",26514.1534417534
"106",2016,"Germany","Fossil-based electricity",1539.07660407
"107",2016,"Germany","Natural gas",53.763425891
"108",2016,"Germany","Petroleum",41107.4461843889
"109",2016,"India","Coal",101284.758641319
"110",2016,"India","Fossil-based electricity",1169.10223239791
"111",2016,"India","Natural gas",5132.98866293817
"112",2016,"India","Petroleum",54447.0202364444
"113",2016,"Indonesia","Coal",14281.1279722605
"114",2016,"Indonesia","Fossil-based electricity",2006.17426012291
"115",2016,"Indonesia","Natural gas",9262.45537919528
"116",2016,"Indonesia","Petroleum",44991.3805599384
"117",2016,"Ireland","Coal",1872.04570973951
"118",2016,"Ireland","Fossil-based electricity",0
"119",2016,"Ireland","Natural gas",50.433267944
"120",2016,"Ireland","Petroleum",175.121669015721
"121",2016,"Italy","Coal",2701.04179985265
"122",2016,"Italy","Fossil-based electricity",0
"123",2016,"Italy","Natural gas",41.426380461
"124",2016,"Italy","Petroleum",13018.7537135592
"125",2016,"Japan","Coal",38989.7651814838
"126",2016,"Japan","Fossil-based electricity",10835.5657562588
"127",2016,"Japan","Natural gas",6046.77883599893
"128",2016,"Japan","Petroleum",122444.009787299
"129",2016,"Luxembourg","Coal",15.2479063047952
"130",2016,"Luxembourg","Fossil-based electricity",434.704378184308
"131",2016,"Luxembourg","Natural gas",45.8981455042059
"132",2016,"Luxembourg","Petroleum",1562.44748347123
"133",2016,"Mexico","Coal",3799.88020619793
"134",2016,"Mexico","Fossil-based electricity",2441.22159219166
"135",2016,"Mexico","Natural gas",9918.6297573601
"136",2016,"Mexico","Petroleum",55328.1397043589
"137",2016,"Russian Federation","Coal",81427.6471327716
"138",2016,"Russian Federation","Fossil-based electricity",16315.813213461
