"","year","countryname","Group","TotalSub"
"1",2015,"Belgium","Coal",1083.25363440497
"2",2015,"Belgium","Fossil-based electricity",0
"3",2015,"Belgium","Natural gas",301.519401926727
"4",2015,"Belgium","Petroleum",8212.41735668279
"5",2015,"Brazil","Coal",5660.97709568307
"6",2015,"Brazil","Fossil-based electricity",0
"7",2015,"Brazil","Natural gas",66.0922096388462
"8",2015,"Brazil","Petroleum",62459.275675603
"9",2015,"China","Coal",892369.430495695
"10",2015,"China","Fossil-based electricity",0
"11",2015,"China","Natural gas",7491.41088868524
"12",2015,"China","Petroleum",181339.616329261
"13",2015,"Denmark","Coal",352.0074414386
"14",2015,"Denmark","Fossil-based electricity",0
"15",2015,"Denmark","Natural gas",0
"16",2015,"Denmark","Petroleum",0
"17",2015,"Finland","Coal",746.721730513302
"18",2015,"Finland","Fossil-based electricity",0
"19",2015,"Finland","Natural gas",8.31858601836015
"20",2015,"Finland","Petroleum",0
"21",2015,"France","Coal",2421.1171158106
"22",2015,"France","Fossil-based electricity",0
"23",2015,"France","Natural gas",0
"24",2015,"France","Petroleum",39875.6519442771
"25",2015,"Germany","Coal",24278.4810604015
"26",2015,"Germany","Fossil-based electricity",0
"27",2015,"Germany","Natural gas",0
"28",2015,"Germany","Petroleum",45212.2205541548
"29",2015,"India","Coal",97695.8013780035
"30",2015,"India","Fossil-based electricity",0
"31",2015,"India","Natural gas",4467.90897861016
"32",2015,"India","Petroleum",52727.1212953725
"33",2015,"Indonesia","Coal",12114.4250451284
"34",2015,"Indonesia","Fossil-based electricity",0
"35",2015,"Indonesia","Natural gas",3995.64723201647
"36",2015,"Indonesia","Petroleum",50653.4429596342
"37",2015,"Ireland","Coal",1556.21790813204
"38",2015,"Ireland","Fossil-based electricity",0
"39",2015,"Ireland","Natural gas",0
"40",2015,"Ireland","Petroleum",49.9167123373835
"41",2015,"Italy","Coal",2868.01078460626
"42",2015,"Italy","Fossil-based electricity",0
"43",2015,"Italy","Natural gas",0
