"","year","countryname","Group","TotalSub"
"1",2015,"Belgium","Explicit subsidy (Consumer)",108.774557115445
"2",2015,"Belgium","Explicit subsidy (Producer)",0.0204493702309594
"3",2015,"Belgium","Implicit subsidy",9597.19039301449
"4",2015,"Brazil","Explicit subsidy (Consumer)",0
"5",2015,"Brazil","Explicit subsidy (Producer)",3080.84214893722
"6",2015,"Brazil","Implicit subsidy",68186.344980925
"7",2015,"China","Explicit subsidy (Consumer)",5192.18821821974
"8",2015,"China","Explicit subsidy (Producer)",5580.56289229926
"9",2015,"China","Implicit subsidy",1081200.45771364
"10",2015,"Denmark","Explicit subsidy (Consumer)",0
"11",2015,"Denmark","Explicit subsidy (Producer)",1275.02117305962
"12",2015,"Denmark","Implicit subsidy",352.0074414386
"13",2015,"Finland","Explicit subsidy (Consumer)",0.536720165815417
"14",2015,"Finland","Explicit subsidy (Producer)",0.00313813330615004
"15",2015,"Finland","Implicit subsidy",755.040316531662
"16",2015,"France","Explicit subsidy (Consumer)",1259.62831751919
"17",2015,"France","Explicit subsidy (Producer)",85.8170446695123
"18",2015,"France","Implicit subsidy",42296.7690600877
"19",2015,"Germany","Explicit subsidy (Consumer)",0
"20",2015,"Germany","Explicit subsidy (Producer)",3221.44054688351
"21",2015,"Germany","Implicit subsidy",69490.7016145563
"22",2015,"India","Explicit subsidy (Consumer)",8068.49036317562
"23",2015,"India","Explicit subsidy (Producer)",42.3971184693804
"24",2015,"India","Implicit subsidy",154890.831651986
"25",2015,"Indonesia","Explicit subsidy (Consumer)",6407.4395824655
"26",2015,"Indonesia","Explicit subsidy (Producer)",3139.55764494549
"27",2015,"Indonesia","Implicit subsidy",66763.5152367791
"28",2015,"Ireland","Explicit subsidy (Consumer)",0
"29",2015,"Ireland","Explicit subsidy (Producer)",0.00536207188917079
"30",2015,"Ireland","Implicit subsidy",1606.13462046942
"31",2015,"Italy","Explicit subsidy (Consumer)",0
"32",2015,"Italy","Explicit subsidy (Producer)",86.6427947781745
"33",2015,"Italy","Implicit subsidy",19502.6183349352
"34",2015,"Japan","Explicit subsidy (Consumer)",0
"35",2015,"Japan","Explicit subsidy (Producer)",6218.42142491765
"36",2015,"Japan","Implicit subsidy",175338.947353581
"37",2015,"Luxembourg","Explicit subsidy (Consumer)",26.1455483034933
"38",2015,"Luxembourg","Explicit subsidy (Producer)",345.938437831029
"39",2015,"Luxembourg","Implicit subsidy",1973.92788344863
"40",2015,"Mexico","Explicit subsidy (Consumer)",3148.45451702356
"41",2015,"Mexico","Explicit subsidy (Producer)",1307.10328788711
"42",2015,"Mexico","Implicit subsidy",63727.6482943047
"43",2015,"Russian Federation","Explicit subsidy (Consumer)",16761.1331116433
"44",2015,"Russian Federation","Explicit subsidy (Producer)",20453.2118350163
"45",2015,"Russian Federation","Implicit subsidy",264660.623636395
"46",2015,"South Africa","Explicit subsidy (Consumer)",21.3163757963097
"47",2015,"South Africa","Explicit subsidy (Producer)",421.906627143068
"48",2015,"South Africa","Implicit subsidy",42125.7936694813
"49",2015,"Spain","Explicit subsidy (Consumer)",0
"50",2015,"Spain","Explicit subsidy (Producer)",490.89592546158
"51",2015,"Spain","Implicit subsidy",15771.3127892361
"52",2015,"Turkiye","Explicit subsidy (Consumer)",2146.47233897509
"53",2015,"Turkiye","Explicit subsidy (Producer)",709.69898483165
"54",2015,"Turkiye","Implicit subsidy",33602.9361711681
"55",2015,"United Kingdom","Explicit subsidy (Consumer)",0
"56",2015,"United Kingdom","Explicit subsidy (Producer)",6610.64016821041
"57",2015,"United Kingdom","Implicit subsidy",32570.1366380007
"58",2015,"United States","Explicit subsidy (Consumer)",0
"59",2015,"United States","Explicit subsidy (Producer)",2104.25269521781
"60",2015,"United States","Implicit subsidy",660573.919501802
"61",2016,"Belgium","Explicit subsidy (Consumer)",8.51128751986811e-13
"62",2016,"Belgium","Explicit subsidy (Producer)",0.0121092007406108
"63",2016,"Belgium","Implicit subsidy",5857.1493521043
"64",2016,"Brazil","Explicit subsidy (Consumer)",0
"65",2016,"Brazil","Explicit subsidy (Producer)",2970.93372092266
"66",2016,"Brazil","Implicit subsidy",39817.1619860092
"67",2016,"China","Explicit subsidy (Consumer)",4993.30358397715
"68",2016,"China","Explicit subsidy (Producer)",5049.33122803332
"69",2016,"China","Implicit subsidy",1126933.72352354
"70",2016,"Denmark","Explicit subsidy (Consumer)",0
"71",2016,"Denmark","Explicit subsidy (Producer)",1097.08573297651
"72",2016,"Denmark","Implicit subsidy",422.222993206424
"73",2016,"Finland","Explicit subsidy (Consumer)",0
"74",2016,"Finland","Explicit subsidy (Producer)",0.00346307348517377
"75",2016,"Finland","Implicit subsidy",847.175586793957
"76",2016,"France","Explicit subsidy (Consumer)",0
"77",2016,"France","Explicit subsidy (Producer)",144.355251493653
"78",2016,"France","Implicit subsidy",28414.030178542
"79",2016,"Germany","Explicit subsidy (Consumer)",0
"80",2016,"Germany","Explicit subsidy (Producer)",3430.03265755897
"81",2016,"Germany","Implicit subsidy",65784.4266315277
"82",2016,"India","Explicit subsidy (Consumer)",6705.35933875188
"83",2016,"India","Explicit subsidy (Producer)",95.7537935628912
"84",2016,"India","Implicit subsidy",155431.573359332
"85",2016,"Indonesia","Explicit subsidy (Consumer)",3569.92852536257
"86",2016,"Indonesia","Explicit subsidy (Producer)",5975.97166274127
"87",2016,"Indonesia","Implicit subsidy",60678.5739137876
"88",2016,"Ireland","Explicit subsidy (Consumer)",0
"89",2016,"Ireland","Explicit subsidy (Producer)",50.4401705215756
"90",2016,"Ireland","Implicit subsidy",2047.16737830768
"91",2016,"Italy","Explicit subsidy (Consumer)",0
