"","countryname","GDP","TotExpSub","TotImpSub","TotSub","Exp_gdpshare","Imp_gdpshare","Tot_gdpshare"
"1","Belgium",640.8444339669,0,2108.16421795353,2108.16421795353,0,0.00328966611273153,0.00328966611273153
"2","Brazil",1806.6515494762,599.293664177243,50063.1018093029,50662.3954734801,0.000331715135855055,0.027710435819136,0.0280421509549911
"3","China",19721.4516356776,34369.1725715846,2306653.4827209,2341022.65529248,0.00174273036318524,0.1169616479219,0.118704378285085
"4","Denmark",436.8095213568,0,683.47071715506,683.47071715506,0,0.00156468823076954,0.00156468823076954
"5","Finland",303.7741100043,0,514.34425944276,514.34425944276,0,0.00169318003906086,0.00169318003906086
"6","France",3161.1323627234,0,10300.92220815,10300.92220815,0,0.00325861780722004,0.00325861780722004
"7","Germany",4394.6859632572,0,43798.0893243317,43798.0893243317,0,0.00996614768165823,0.00996614768165823
"8","India",3900.0250680521,30781.6823211748,311208.112830323,341989.795151498,0.00789268832483402,0.0797964390997514,0.0876891274245854
"9","Indonesia",1375.7478586499,31737.2949384313,101884.20934183,133621.504280261,0.0230691218153717,0.0740573272211486,0.0971264490365203
"10","Ireland",571.7064565934,592.74079857344,2722.81621475994,3315.55701333338,0.00103679220645045,0.00476261232203718,0.00579940452848763
"11","Italy",2341.3129245203,0,13292.5959017392,13292.5959017392,0,0.00567741106390667,0.00567741106390667
"12","Japan",5804.8969211764,2993.18147954587,124825.970186122,127819.151665668,0.000515630427239229,0.0215035636086412,0.0220191940358804
"13","Luxembourg",86.4454839517,87.23261359679,722.96582843495,810.19844203174,0.00100910550336591,0.00836325734307758,0.00937236284644349
"14","Mexico",1404.4311125086,1143.93306304974,47660.2230543399,48804.1561173897,0.000814517033168287,0.0339356075423372,0.0347501245755055
"15","Russian Federation",1796.4136447454,59917.272049486,362747.352293469,422664.624342955,0.0333538281813585,0.201928633393831,0.235282461575189
"16","South Africa",395.0822455417,0,46481.3161899979,46481.3161899979,0,0.117649721582065,0.117649721582065
"17","Spain",1619.4481290459,0,8553.87045940884,8553.87045940884,0,0.00528196631061494,0.00528196631061494
"18","Turkiye",984.5816195662,5957.96029970607,103933.738499841,109891.698799547,0.0060512609430299,0.105561323139095,0.111612584082125
"19","United Kingdom",3322.6539202789,9532.3937880197,15617.2375586088,25149.6313466285,0.00286890961765274,0.00470022997679455,0.00756913959444729
"20","United States",26129.4822317515,16460.6344115795,974920.111057895,991380.745469474,0.000629964048486854,0.0373111147940471,0.037941078842534
"21","Other HICs",13208.3437572622,22751.0405588176,268832.363384864,291583.403943682,0.00172247489745326,0.0203532228056265,0.0220756977030798
"22","Other LICs",499.4758291436,1229.33417570068,7580.09253006531,8809.42670576599,0.00246124858095435,0.0151760947933399,0.0176373433742942
"23","Other LMICs",4652.7644522829,176755.501510328,361656.551886665,538412.053396993,0.0379893509166582,0.0777293919766809,0.115718742893339
"24","Other UMICs",3527.6874717316,67559.8647023701,251256.86403479,318816.72873716,0.0191513180358938,0.0712242413899148,0.0903755594258087
