"","Country","ReGroup","SubScenario","Amount","Share"
"1","Belgium","Bottom 50%","Explicit",0,NA
"2","Belgium","Bottom 50%","Implicit_cons",43.9678729429751,0.406381478537792
"3","Belgium","Bottom 50%","Implicit_prod",27.7494565376071,0.350508433141814
"4","Belgium","Bottom 50%","Null",NA,NA
"5","Belgium","Next 40%","Explicit",0,NA
"6","Belgium","Next 40%","Implicit_cons",47.1532122235225,0.435822586324657
"7","Belgium","Next 40%","Implicit_prod",37.0599995940406,0.468111596071769
"8","Belgium","Next 40%","Null",NA,NA
"9","Belgium","Top 10%","Explicit",0,NA
"10","Belgium","Top 10%","Implicit_cons",17.0725094362305,0.15779593513755
"11","Belgium","Top 10%","Implicit_prod",14.3596990549261,0.181379970786417
"12","Belgium","Top 10%","Null",NA,NA
"13","Brazil","Bottom 50%","Explicit",33.0945190981713,0.267637502782358
"14","Brazil","Bottom 50%","Implicit_cons",2086.82652545059,0.697849848009113
"15","Brazil","Bottom 50%","Implicit_prod",3509.20030880916,0.397882036985992
"16","Brazil","Bottom 50%","Null",NA,NA
"17","Brazil","Next 40%","Explicit",60.8664562410771,0.492230943234153
"18","Brazil","Next 40%","Implicit_cons",819.386109300884,0.27400862738839
"19","Brazil","Next 40%","Implicit_prod",3483.50315783793,0.394968428792267
"20","Brazil","Next 40%","Null",NA,NA
"21","Brazil","Top 10%","Explicit",29.6932911746776,0.240131553983489
"22","Brazil","Top 10%","Implicit_cons",84.1534610556276,0.0281415246024967
"23","Brazil","Top 10%","Implicit_prod",1826.99680278907,0.207149534221741
"24","Brazil","Top 10%","Null",NA,NA
"25","China","Bottom 50%","Explicit",1375.70370784997,0.218852536065234
"26","China","Bottom 50%","Implicit_cons",9615.89432277179,0.220395609612423
"27","China","Bottom 50%","Implicit_prod",9392.84113625884,0.21460643704427
"28","China","Bottom 50%","Null",NA,NA
"29","China","Next 40%","Explicit",3029.2526834335,0.481905826355552
"30","China","Next 40%","Implicit_cons",21689.4043652196,0.497119595613963
"31","China","Next 40%","Implicit_prod",20513.6225632224,0.468692633602612
"32","China","Next 40%","Null",NA,NA
"33","China","Top 10%","Explicit",1881.02837537197,0.299241637579214
"34","China","Top 10%","Implicit_cons",12324.8550146248,0.282484794773614
"35","China","Top 10%","Implicit_prod",13861.287471567,0.316700929353118
"36","China","Top 10%","Null",NA,NA
"37","Denmark","Bottom 50%","Explicit",0,NA
