"","Group","Country","SubScenario","Vari","value"
"1","D1","Belgium","Explicit","Total_Effect",0.00651549342381698
"2","D1","Brazil","Explicit","Total_Effect",0.00528707226130146
"3","D1","China","Explicit","Total_Effect",0.00768544974396499
"4","D1","Germany","Explicit","Total_Effect",0.0114150466363878
"5","D1","Denmark","Explicit","Total_Effect",0.0136837437094568
"6","D1","Spain","Explicit","Total_Effect",0.00134224490674361
"7","D1","Finland","Explicit","Total_Effect",0.00757327338183377
"8","D1","France","Explicit","Total_Effect",0.0057328419201362
"9","D1","United Kingdom","Explicit","Total_Effect",0.0114155307509207
"10","D1","Indonesia","Explicit","Total_Effect",0.0525869734427625
"11","D1","India","Explicit","Total_Effect",0.00695292824357693
"12","D1","Ireland","Explicit","Total_Effect",0.00270232583905179
"13","D1","Italy","Explicit","Total_Effect",0.00375929127236448
"14","D1","Japan","Explicit","Total_Effect",0.00525164734092623
"15","D1","Luxembourg","Explicit","Total_Effect",0.00535304189727289
"16","D1","Mexico","Explicit","Total_Effect",0.0212546230765699
"17","D1","Russian Federation","Explicit","Total_Effect",0.0280420679557519
"18","D1","Turkiye","Explicit","Total_Effect",0.0225540725246115
"19","D1","United States","Explicit","Total_Effect",0.000526060781198059
"20","D1","South Africa","Explicit","Total_Effect",0.0081039912742502
"21","D1","Belgium","Implicit_prod","Total_Effect",0.0678238356269002
"22","D1","Brazil","Implicit_prod","Total_Effect",0.230682835485269
"23","D1","China","Implicit_prod","Total_Effect",0.18684446518805
"24","D1","Germany","Implicit_prod","Total_Effect",0.0750561707402355
"25","D1","Denmark","Implicit_prod","Total_Effect",0.0454653791545809
"26","D1","Spain","Implicit_prod","Total_Effect",0.0574526422019475
"27","D1","Finland","Implicit_prod","Total_Effect",0.0441774505740864
"28","D1","France","Implicit_prod","Total_Effect",0.0554694274439015
"29","D1","United Kingdom","Implicit_prod","Total_Effect",0.0655958765067541
"30","D1","Indonesia","Implicit_prod","Total_Effect",0.264703000713864
"31","D1","India","Implicit_prod","Total_Effect",0.231110423686433
"32","D1","Ireland","Implicit_prod","Total_Effect",0.0710668535297582
"33","D1","Italy","Implicit_prod","Total_Effect",0.0667422606023523
"34","D1","Japan","Implicit_prod","Total_Effect",0.112710658838535
"35","D1","Luxembourg","Implicit_prod","Total_Effect",0.0761188863806936
"36","D1","Mexico","Implicit_prod","Total_Effect",0.321090609250376
"37","D1","Russian Federation","Implicit_prod","Total_Effect",0.206196147147806
"38","D1","Turkiye","Implicit_prod","Total_Effect",0.188010686688238
"39","D1","United States","Implicit_prod","Total_Effect",0.0530251915343476
"40","D1","South Africa","Implicit_prod","Total_Effect",0.269280387743839
