"","Country","npl_chg","npl_chgrate","Gini_chg","Gini_chgrate","CO2_chg","CO2_chgrate"
"1","Belgium",355808.545056952,21.1347551419218,0.00489873706745914,3.70417652691244,-13.497565345557,-9.85747228454719
"2","Brazil",10593428.0095244,19.2342127042019,0.0110438921680995,2.19650837959024,-68.6654734280448,-15.1741125949792
"3","China",36951520.5040153,85.3725630996298,-0.00406134538893305,-0.997405472966436,-2415.42157732724,-29.1187022469128
"4","Denmark",61158.3400033776,8.76743417162738,0.00442843822131994,3.13768668627644,-4.71528466507196,-9.2927693725873
"5","Finland",95421.8296151607,14.4362930405594,0.000416912504310946,0.236860148602997,-4.11888521442119,-7.72346427830966
"6","France",3557020.86519163,25.5172558670174,0.0022876639686665,1.2776258271811,-55.5594604804622,-12.5899360919757
"7","Germany",3155117.17155405,23.7088214927816,0.000521368552539231,0.266904779900148,-110.551479865585,-14.3406137133942
"8","India",216948194.130785,74.0007642372651,0.0151362481143918,3.20308126477743,-449.960219547107,-22.8398222986402
"9","Indonesia",34059155.092654,121.410015957632,0.0153254186491761,3.7647142338276,-132.592281968046,-26.2733394127531
"10","Ireland",210157.335763027,31.6778933827821,0.00274969568744177,1.47642136088391,-9.03451539617038,-16.7696929046063
"11","Italy",1688290.84697399,13.7382818117423,-0.000175465740409997,-0.0499650944012643,-53.0291222839861,-13.2639296384459
"12","Japan",967717.379538204,54.4393016343458,0.00563077382237911,2.70852899762827,-206.626817633271,-17.0340259866988
"13","Luxembourg",49723.8227659589,47.920819171393,0.00197674535747469,1.23079890930568,-1.72443153422441,-13.2436420119136
"14","Mexico",14224785.7265307,27.2079634594572,0.0311831728383535,7.54339779664029,-129.525431569123,-28.2119469839503
"15","Russian Federation",14509811.9178026,76.0728711056468,-0.00124415433795261,-0.439270394946761,-357.799741950467,-28.5307872604756
"16","South Africa",4535119.17979065,14.3333127710592,0.0150333912644589,2.54074224747122,-84.4175250365398,-28.4523395634216
"17","Spain",2355070.20932385,23.3705242856307,0.00136018253594067,0.654244653535642,-33.5698282330371,-12.0701261547351
"18","Turkiye",10834875.1095878,96.094862429897,0.00529496057170797,1.70599901618916,-103.645428596622,-24.094597820841
"19","United Kingdom",5331798.21472084,29.6645210549931,0.00330836995835523,1.49939083873292,-102.99156303957,-17.6825991050987
"20","United States",5385008.6345711,13.4658807198914,-0.00435380404179775,-0.8933595059547,-1083.31566278103,-19.6178697637339
"21","Other HICs",16938052.6168609,47.0545535171607,0.00356839785555849,1.17231063879272,-503.978046901545,-16.3678597054266
"22","Other LICs",31885958.3095899,14.3288954096857,-0.00123942004207155,-0.321949709639425,-23.2473868527771,-16.1266560961023
"23","Other LMICs",170990653.500009,50.7553126383562,0.00600487724958941,1.62268760955546,-701.933589014187,-29.0064468544818
"24","Other UMICs",51553916.6968668,52.0110499436577,0.0180387371329673,4.40914824933561,-440.65424051962,-27.4456513972012
