"","Country","SPScenario","npl_chg","npl_chgrate","Gini_chg","Gini_chgrate","CO2_chg","CO2_chgrate","Ineq_chg","Ineq_chgrate"
"1","Belgium","Cash",-306240.423199488,-18.1904466567652,-0.00408856220293613,-3.09156338304817,-3.35493041782613,-2.4501554734974,-0.358999493112251,-10.7331964504862
"2","Belgium","Null",115094.544671115,6.83652782820502,0.00523312767178116,3.95702574300482,-5.45741911046656,-3.98563416803834,0.16456886514961,4.92020181970574
"3","Belgium","PerfectTargeted",-962570.235578262,-57.1759349753456,-0.0206784122453263,-15.6359666171439,-3.31116383297464,-2.41819208705565,-0.76921510233929,-22.9976280314884
"4","Belgium","SP_covid",-140970.130823618,-8.37351783331949,0.000740080370183749,0.559611242145153,-3.38809205212249,-2.47437390716435,0.0244691727482471,0.731567712842703
"5","Belgium","SP_current",-117574.257663916,-6.98382088131791,0.0135386289302732,10.237224574314,-3.38717624228883,-2.47370507765161,-0.16910913798865,-5.05594474206409
"6","Belgium","Universal",-140967.714851319,-8.37337432641479,0.000739802955126379,0.559401474948104,-3.38809287396643,-2.47437450736918,0.0244504868115079,0.731009049575117
"7","Brazil","Cash",-18160703.7209563,-32.9739191046379,-0.0324870483659659,-6.46131570988319,0.930171457099732,0.205554927651638,-10.0465196684125,-35.6263844708402
"8","Brazil","Null",1943844.07415274,3.52938730998509,0.00630041028270933,1.25308213537266,-26.8185469207913,-5.92652508303559,3.62472754371137,12.8537982641218
"9","Brazil","PerfectTargeted",-30233771.8409289,-54.8946760119478,-0.0423723461652441,-8.42739244445854,2.62582890090721,0.580271589320215,-13.6761710060762,-48.4976432070649
"10","Brazil","SP_covid",-18171032.5256396,-32.9926728476265,-0.0338490973476072,-6.73221223404784,0.550252651819562,0.121598166845024,-12.0058649058172,-42.5745007382442
"11","Brazil","SP_current",-17557772.7786388,-31.8791930178553,-0.0324720483864941,-6.45833237935968,0.844671465991837,0.186660621282361,-10.2374915414947,-36.3035978340842
"12","Brazil","Universal",-5030367.78422991,-9.13350842194344,-0.0147580250256351,-2.93520845202061,-8.19205411788386,-1.81032978239341,-4.18912198830212,-14.8552210592631
