"","Country","SPScenario","npl_chg","npl_chgrate","Gini_chg","Gini_chgrate","CO2_chg","CO2_chgrate","Ineq_chg","Ineq_chgrate"
"1","Belgium","Cash",-377515.399808954,-22.4241256937488,-0.00540541512024253,-4.08730077383093,-2.82930824466604,-2.06628579986218,-0.394509027197734,-11.7948436464212
"2","Belgium","Null",115094.544671115,6.83652782820502,0.00523312767178116,3.95702574300482,-5.45741911046656,-3.98563416803834,0.16456886514961,4.92020181970574
"3","Belgium","PerfectTargeted",-1003584.11402816,-59.6121279518814,-0.0256006293389082,-19.3578975490014,-2.76088481107251,-2.01631515086038,-0.82884073885329,-24.7802870114272
"4","Belgium","SP_covid",-198265.23671537,-11.776803253738,-0.000345489474540134,-0.261241618862932,-2.87076028753648,-2.09655884194586,-0.00814492708199754,-0.243513164010597
"5","Belgium","SP_current",-175018.22750203,-10.3959487061687,0.0125175487910131,9.46513555792895,-2.86961552524437,-2.09572280505491,-0.208990359636882,-6.2482945777838
"6","Belgium","Universal",-198262.216749996,-11.7766238701072,-0.000345833916253424,-0.261502068217876,-2.87076131484139,-2.09655959220188,-0.00816774696591382,-0.244195422068756
"7","Brazil","Cash",-26509374.9779326,-48.1323851469581,-0.0406650444290836,-8.08782895426097,7.86735105157237,1.73857493032342,-10.4621461822958,-37.1002550716653
"8","Brazil","Null",1943844.07415274,3.52938730998509,0.00630041028270933,1.25308213537266,-26.8185469207913,-5.92652508303559,3.62472754371137,12.8537982641218
"9","Brazil","PerfectTargeted",-31299258.5668538,-56.8292526477183,-0.0514719122184996,-10.2371957984196,8.79065487603907,1.94261220688154,-14.0654740980189,-49.8781672180659
"10","Brazil","SP_covid",-22455994.5940774,-40.7727674288772,-0.0430649372862255,-8.56514118174336,7.39245254497183,1.63362897931508,-13.3559257338047,-47.3620080247852
"11","Brazil","SP_current",-26299537.3431056,-47.7513883914243,-0.0407336186581618,-8.10146761230847,7.76047606268759,1.71495704736184,-10.7341000067109,-38.0646419266862
"12","Brazil","Universal",-6899085.89334851,-12.5264914641338,-0.0197605497949528,-3.93015546958144,-3.53543091715693,-0.781280957232855,-5.56048164537435,-19.7182570163086
"13","China","Cash",-6182502.8596318,-14.2840161459716,0.0677659466176257,16.6422994265277,489.85965651187,5.90541941607058,4.7199838404512,31.4270872988437
"14","China","Null",5572732.85480096,12.8752073201474,-0.000177061781085452,-0.0434837160092435,-610.935837127451,-7.36503263043945,-0.104381402907771,-0.695003112816742
"15","China","PerfectTargeted",-43282665.0183771,-100,-0.19156916335419,-47.0465113609229,514.381830910761,6.20104230089978,-10.6805153910115,-71.1141183817858
"16","China","SP_covid",-43282665.0183771,-100,-0.137373378029884,-33.7368398807591,526.103442231644,6.34235018400834,-9.594972058388,-63.8862408647781
"17","China","SP_current",-25603538.8658012,-59.154256917707,-0.0753919853209539,-18.5151400769387,510.295039628809,6.1517746866657,-3.41808153326022,-22.7586259553943
"18","China","Universal",-43282665.0183771,-100,-0.125836302033998,-30.9035071699577,531.42147924347,6.40646087082964,-9.1394559834776,-60.8532763597837
"19","Denmark","Cash",-92141.6375335625,-13.2090854901694,0.00374477447554267,2.65328958603285,-1.22107707590383,-2.4064692714272,-0.153071159728416,-4.4911496947628
"20","Denmark","Null",5354.7388135558,0.767635616851533,0.00430241058200284,3.04839217064238,-1.7273901238672,-3.40429882345989,0.164032304171283,4.81275267083077
"21","Denmark","PerfectTargeted",-468295.442470023,-67.1331083299889,-0.0125302784814528,-8.87809335971093,-1.18792827872658,-2.34114042088533,-0.572098771187844,-16.7855344282564
"22","Denmark","SP_covid",-29158.1674931679,-4.18000740450961,0.00134419930410179,0.952407157872717,-1.23809565081611,-2.44000906869148,0.0781933452874428,2.29421413833444
"23","Denmark","SP_current",-30435.9223221164,-4.36318162653177,0.00224388029111366,1.58985921518104,-1.23758766336175,-2.43900793925969,0.0675806076342811,1.98283351277336
"24","Denmark","Universal",-29158.1674931679,-4.18000740450961,0.00134419930410179,0.952407157872717,-1.23809565081611,-2.44000906869148,0.0781933452874428,2.29421413833444
"25","Finland","Cash",-10925.894217012,-1.65296988417709,0.00573717906627214,3.2594586925263,-0.0831952095381965,-0.156002217965436,0.0749240529964754,1.87601089780795
"26","Finland","Null",1297.20986936311,0.196253853911185,0.000426401228079437,0.242250969215519,-0.127037389121369,-0.238212206898439,-0.000298521853021594,-0.00747463901250346
"27","Finland","PerfectTargeted",1297.20986936311,0.196253853911185,-0.00102633814886649,-0.583092624816385,-0.0802090436811724,-0.150402754973585,-0.096151000205547,-2.40750889743279
"28","Finland","SP_covid",-3433.34966340766,-0.519428751801926,0.000170857830310484,0.0970693146856145,-0.0841925047303889,-0.157872280710778,-0.00824994601038886,-0.206569025604431
"29","Finland","SP_current",-4095.59533952374,-0.619619375727421,0.0121597124794992,6.90828717076759,-0.0840703568685939,-0.157643237025865,0.140353573650767,3.5142897799124
"30","Finland","Universal",-3433.34966340766,-0.519428751801926,0.000170857830310484,0.0970693146856145,-0.0841925047303889,-0.157872280710778,-0.00824994601038886,-0.206569025604431
"31","France","Cash",-2661872.57732928,-19.0956663498371,0.00095148942654899,0.531392495707024,-22.386651421427,-5.07288062684151,-0.387551811560333,-9.28870593581369
"32","France","Null",580117.930783106,4.16163363496034,0.00234024162406496,1.30698965481915,-31.4686311358008,-7.13088376804902,0.0265973958467685,0.63747705805938
"33","France","PerfectTargeted",-7086313.45848302,-50.8355954398537,-0.0240929088548125,-13.4555262601665,-22.0639120446966,-4.99974694101623,-0.833938036050149,-19.9875344521617
"34","France","SP_covid",-2387176.17887032,-17.1250570813284,-0.00424561452244965,-2.37111168442222,-22.4617845305141,-5.08990600890278,-0.192385341031766,-4.61102439957789
"35","France","SP_current",-2559586.28048719,-18.3618878011221,0.00326924667702139,1.82582496695232,-22.41320365786,-5.07889744120399,-0.294038279894814,-7.0474063966289
"36","France","Universal",-2387176.17887032,-17.1250570813284,-0.00424561452244965,-2.37111168442222,-22.4617845305141,-5.08990600890278,-0.192385341031766,-4.61102439957789
"37","Germany","Cash",-5574298.70092359,-41.8875260922708,-0.0206550871540659,-10.5739816178489,-28.1001212533738,-3.64511614574615,-0.570148962978941,-12.4195598710967
"38","Germany","Null",1143209.85947172,8.59053943586281,0.00113732632028085,0.582232721384484,-52.3777357665223,-6.79438101347171,0.0385292893351119,0.839283848186012
"39","Germany","PerfectTargeted",-11028791.1702482,-82.8747798953496,-0.0411837867950306,-21.0832615362913,-27.7049171485854,-3.5938507134642,-1.43257182441561,-31.2057246408304
"40","Germany","SP_covid",-3004864.01459513,-22.5797587406331,-0.00916878639144586,-4.69378696095443,-29.0207299681771,-3.76453647350865,-0.331253295873311,-7.21569345509561
"41","Germany","SP_current",-2839220.63712681,-21.335047671496,0.00551454288327652,2.82306603906666,-28.947824700405,-3.75507928411542,-0.361580322753754,-7.87630734814925
"42","Germany","Universal",-3004864.01459513,-22.5797587406331,-0.00916878639144586,-4.69378696095443,-29.0207299681771,-3.76453647350865,-0.331253295873311,-7.21569345509561
"43","India","Cash",-45057448.6840648,-15.3690407544582,-0.0280435572950922,-5.93448206522291,135.600264253486,6.88302166426079,0.954800162913731,5.56550392014074
"44","India","Null",85313995.2169036,29.1004996445342,0.0179936540854207,3.807755782696,-113.512071302824,-5.7618327680535,2.47357082763189,14.4183764023665
"45","India","PerfectTargeted",-292538132.528476,-99.7843999687744,-0.121594775563135,-25.7314721955947,143.628728281408,7.29054367123584,-9.01895305067149,-52.5712295711168
"46","India","SP_covid",-264092663.152602,-90.081685081766,-0.0639226770676559,-13.527099170312,125.5297383181,6.37184531393902,-6.26177587290881,-36.4997195448379
"47","India","SP_current",-239414504.463494,-81.6639952720891,-0.0632837687186802,-13.3918955619246,128.529687847829,6.52412169568864,-5.82620072096276,-33.9607639499061
"48","India","Universal",-264092663.152602,-90.081685081766,-0.0639226770676559,-13.527099170312,125.5297383181,6.37184531393902,-6.26177587290881,-36.4997195448379
"49","Indonesia","Cash",2890477.78133668,10.3036306274361,-0.00509401153923766,-1.25135229177449,9.61583422019436,1.90539051333937,0.768731973960337,6.15108055008775
"50","Indonesia","Null",16262664.8215796,57.9712089196086,0.0184937665682107,4.54302409808366,-50.2630862634651,-9.95969830016775,1.99889587558313,15.9943516836004
"51","Indonesia","PerfectTargeted",-28053002.73129,-100,-0.115721628465063,-28.4272078836523,9.84754888968331,1.95130508746114,-6.22166409669909,-49.7832252471907
"52","Indonesia","SP_covid",-27965277.6491344,-99.6872880846451,-0.0800225507446103,-19.6576708742388,9.0327368816375,1.78984898966102,-5.31160254333953,-42.5012828929347
"53","Indonesia","SP_current",-6540371.37567142,-23.3143362167658,-0.0446695934016799,-10.9731589034037,9.34628173448306,1.85197832492593,-0.551988440619148,-4.41678696343765
"54","Indonesia","Universal",-27373313.8802487,-97.5771262080149,-0.0546762934928742,-13.4313211976512,8.07042556426148,1.59916570488094,-4.01635471410121,-32.1372366455462
"55","Ireland","Cash",-73569.5611689297,-11.0894473726833,-0.00417982068861503,-2.24431255339285,-1.94599653570052,-3.61212116711412,-0.275933431966217,-6.48225358976569
"56","Ireland","Null",5538.92431615945,0.834905207118006,0.00218883229054501,1.17527141781996,-2.847255509799,-5.28502065982609,0.21454771236323,5.04017461288575
"57","Ireland","PerfectTargeted",-398303.560137194,-60.0379599703145,-0.0258372619452224,-13.8730571593433,-1.97727664915462,-3.67018270928259,-0.898374370362796,-21.1046934245746
"58","Ireland","SP_covid",-42348.1596152269,-6.38331505477815,-0.00420126201340928,-2.25582525644449,-1.96628950908414,-3.64978859218806,-0.0152369248191029,-0.357947240759547
"59","Ireland","SP_current",-45385.8792787262,-6.84120323306957,0.000149440202352996,0.0802404091247099,-1.963530561539,-3.64466748706587,-0.0369126927168937,-0.867156375967146
"60","Ireland","Universal",-42348.1596152269,-6.38331505477815,-0.00420126201340928,-2.25582525644449,-1.96628950908414,-3.64978859218806,-0.0152369248191029,-0.357947240759547
"61","Italy","Cash",-4156651.49496884,-33.8242961711452,-0.020148074679565,-5.73730490645019,-12.262448312205,-3.06714960766537,-2.05917590402904,-19.3021565310278
"62","Italy","Null",318567.158565572,2.59230535318257,-7.74526948864596e-05,-0.0220551955190325,-25.5182216543587,-6.38275502108195,0.0385177269085002,0.361054727064624
"63","Italy","PerfectTargeted",-7940117.86631081,-64.6118392819247,-0.0469503903605489,-13.36945138726,-11.8906369735421,-2.97415015335816,-3.84307728295267,-36.0239643107943
"64","Italy","SP_covid",-2370322.45542913,-19.2882393076719,-0.0170043578320254,-4.84210958973974,-12.4701269575448,-3.11909530883016,-1.40516946419843,-13.1716775130816
"65","Italy","SP_current",-2638638.32310611,-21.4716302863741,-0.0117427863355191,-3.34384037828195,-12.4529518218475,-3.1147993713979,-1.35449029700164,-12.6966247426113
"66","Italy","Universal",-2370315.36272119,-19.288181591538,-0.0170044691054697,-4.84214127562971,-12.4701254924121,-3.11909494236329,-1.40519899406523,-13.1719543180452
"67","Japan","Cash",-1018021.63730822,-57.2691863921669,-0.0164389299901123,-7.907495483345,-13.8859204741698,-1.14473587173011,-0.551804944611261,-12.4110059777285
"68","Japan","Null",131566.723041512,7.401335009729,0.00453803107002101,2.18289512827503,-84.8963011926946,-6.99873238747551,0.288408419684989,6.48678243225834
"69","Japan","PerfectTargeted",-1707228.52703342,-96.0407766844938,-0.0616168058955579,-29.6390710715559,-11.461266086317,-0.944850753600132,-1.42813701557797,-32.1211638468376
"70","Japan","SP_covid",-1030773.63299281,-57.9865546591755,-0.0191043225626905,-9.18960932783981,-15.8438559516392,-1.30614533534914,-0.548235044894118,-12.3307130279062
"71","Japan","SP_current",-1007907.54850097,-56.7002145590919,-0.0104934980009878,-5.0476088223023,-14.6819926100366,-1.21036294572255,-0.453168656628838,-10.1925127008456
"72","Japan","Universal",-1183436.75638629,-66.5746755285401,-0.0162157726525701,-7.8001517791166,-16.5489555949177,-1.36427276422982,-0.418499884754759,-9.41275467371735
"73","Luxembourg","Cash",-25188.8459528852,-24.2754893911867,0.00280779473860507,1.74824273079068,-0.893030702883246,-6.8584798525809,-0.466443110555368,-12.2636386161869
"74","Luxembourg","Null",24360.8183845121,23.4774863985427,0.00255003244549012,1.58774985393815,-1.50670322717149,-11.5714876252416,-0.095026190568237,-2.49841156151761
"75","Luxembourg","PerfectTargeted",-56289.7343024958,-54.248648407667,-0.0501019023454642,-31.195402345457,-0.900471343594919,-6.91562400702771,-1.12709886433731,-29.6334812202284
"76","Luxembourg","SP_covid",-30224.2322533774,-29.1282907837859,-0.0131152966345812,-8.16609622075196,-0.890551911533699,-6.83944272376244,-0.534996712405404,-14.0660376224147
"77","Luxembourg","SP_current",-26126.6309940657,-25.1792700114252,-0.00530548351919519,-3.3034013734105,-0.892154513592819,-6.85175071485244,-0.556530932775363,-14.6322114826826
"78","Luxembourg","Universal",-30224.2322533774,-29.1282907837859,-0.0131152966345812,-8.16609622075196,-0.890551911533699,-6.83944272376244,-0.534996712405404,-14.0660376224147
"79","Mexico","Cash",-17287182.105933,-33.0654554731154,-0.0430164179797908,-10.4059312466436,-12.1169819288733,-2.63920102517031,-2.41318468089314,-16.4289340881277
"80","Mexico","Null",4138907.78801363,7.9165517163683,0.0120703803987251,2.9198979005871,-54.8019523170305,-11.9364186218515,1.56146919239444,10.6304646493097
"81","Mexico","PerfectTargeted",-26607261.7011617,-50.8921131072801,-0.0838509416938108,-20.2840490959067,-11.0382225013284,-2.40423632820197,-6.91762590717553,-47.0951191490444
"82","Mexico","SP_covid",-16892943.4924173,-32.311389296158,-0.052090588089119,-12.6010277868153,-12.4048109325464,-2.70189308875734,-5.12339280460285,-34.8800004246898
"83","Mexico","SP_current",-17175218.5663869,-32.8513011124575,-0.0434785447738101,-10.5177225084836,-12.4048109193901,-2.70189308589176,-2.95979045175879,-20.1502200107692
"84","Mexico","Universal",-9820289.17291392,-18.7834160819455,-0.034298235739125,-8.2969503213909,-16.1949250809965,-3.52741822404424,-3.84714273446429,-26.1913043425837
"85","Russian Federation","Cash",-14052242.15206,-73.673898189363,-0.0705036648929677,-24.8925489209746,127.88668189436,10.1976253383694,-2.14633308429702,-29.4812934243466
"86","Russian Federation","Null",4873988.73544879,25.5536266729445,0.00100551156868445,0.355013401815089,-175.98523914827,-14.0329822256225,0.0488633009675192,0.671169504884847
"87","Russian Federation","PerfectTargeted",-19073569.4695314,-100,-0.159043900244914,-56.1532237145308,129.369595928765,10.3158722230948,-4.68779219785593,-64.3899021584613
"88","Russian Federation","SP_covid",-19050247.5788746,-99.877726658903,-0.0924221037599569,-32.6312361593786,126.536984907071,10.0900011198595,-3.62043534359308,-49.7290553219523
"89","Russian Federation","SP_current",-15577853.254489,-81.6724592603051,-0.0805815384092299,-28.4507179878421,127.642450435492,10.1781504338955,-2.85839072219408,-39.2618723621986
"90","Russian Federation","Universal",-19050247.5788746,-99.877726658903,-0.0924221037599569,-32.6312361593786,126.536984907071,10.0900011198595,-3.62043534359308,-49.7290553219523
"91","South Africa","Cash",-21804387.7933869,-68.9130974587769,-0.128937480255472,-21.7912843219913,28.7558045485684,9.69194388346628,-22.6232676133165,-51.8334790401884
"92","South Africa","Null",2206186.48948937,6.97268577329783,0.0208448280188183,3.5229133770962,-37.08296436863,-12.4985551729671,11.7397492838898,26.8976196915686
"93","South Africa","PerfectTargeted",-23875597.1073741,-75.4591858270828,-0.172288740903886,-29.1179332113181,30.4108705843345,10.2497723773616,-33.2322489988193,-76.1403308921079
"94","South Africa","SP_covid",-11634005.8611873,-36.7694515133849,-0.105736116934521,-17.8701009408449,23.3043938748044,7.85458383858863,-28.6079798749119,-65.545400009128
"95","South Africa","SP_current",-16538382.3074569,-52.269807460953,-0.125873245405586,-21.2734084281014,26.2907631074677,8.86111881379328,-30.3860794145383,-69.6193068732426
"96","South Africa","Universal",-11557252.3593269,-36.5268709096951,-0.104805213973954,-17.7127722025314,23.1759582724025,7.81129551226077,-28.5362122607221,-65.3809690706157
"97","Spain","Cash",-1374584.82206892,-13.6406837637525,-0.0075250927751917,-3.61955221849989,-6.07700328453933,-2.18500362223907,-0.653144577700172,-12.8779692920176
"98","Spain","Null",600391.078017864,5.95797705484161,0.000677026944449571,0.325648394242452,-12.3575673698052,-4.44319810288446,0.0151464199422948,0.298640052387324
