"","Country","npl_chg","npl_chgrate","Gini_chg","Gini_chgrate","CO2_chg","CO2_chgrate"
"1","Belgium",34101.3903760465,2.02559647768289,0.0043864068023258,3.31677836367155,-3.76475640656338,-2.7494574751576
"2","Brazil",124341.806681015,0.225764196025792,-0.000993900337520448,-0.197675818145633,-2.51037603607432,-0.5547581153292
"3","China",976210.822245553,2.25543141077628,-0.000898993153885141,-0.220779226087924,-248.681962522264,-2.99794292178035
"4","Denmark",17828.3639703464,2.55580853713807,0.00512876331495848,3.63388887146126,-1.53865956412062,-3.03235318499703
"5","Finland",15309.8134783652,2.31620955772232,0.000814088843708594,0.462507606519388,-0.856227567480502,-1.60554195790303
"6","France",227069.05455574,1.62894157334902,0.00175158195982583,0.978232109675814,-15.0051551107248,-3.4002119937907
"7","Germany",612081.048764551,4.59942358246098,0.000773499653585225,0.395978533395472,-33.6827841672145,-4.36929290427369
"8","India",5749261.78864807,1.96106617925377,-0.000816102090722359,-0.172700744410565,-35.9578358244528,-1.82520708453028
"9","Indonesia",5946787.50473251,21.1983991934651,0.00330354385378401,0.811520967427726,-61.4751145237801,-12.1813768143035
"10","Ireland",2484.37381269457,0.37448004598924,0.00214985472703655,1.15434280829349,-0.577196785831873,-1.07138152069886
"11","Italy",84702.4248741698,0.689256703100045,-0.000617185965611888,-0.175748011907495,-11.9737851303246,-2.99494761810261
"12","Japan",34351.6031817903,1.93246223203022,0.000966547136489998,0.464930936553158,-22.6796890431381,-1.86968185909309
"13","Luxembourg",2255.08051905976,2.17331049302942,0.00324067197411682,2.01776901414149,-0.373581055715382,-2.86910420398483
"14","Mexico",845134.524025127,1.61650162540688,0.000799087164718104,0.193304010111639,-20.9583073364179,-4.5649309813943
"15","Russian Federation",1577424.79378346,8.27021285293913,-0.000426887000242404,-0.150719903048927,-71.3153251971712,-5.68665131092746
"16","South Africa",137022.651450582,0.433062162668829,-0.00154829950994806,-0.261672826008604,-7.481411963114,-2.52155785775793
"17","Spain",71980.7658733893,0.714300673619969,9.93239609816676e-05,0.0477745954849352,-1.363128293714,-0.490116611738418
"18","Turkiye",1042793.00513807,9.24856533721638,0.00289257813289728,0.931968308761412,-28.1124329606566,-6.5353366291589
"19","United Kingdom",423344.414570902,2.35536094837185,0.00228376170780573,1.03502674296901,-35.371487441271,-6.07292300180671
"20","United States",52459.9275775626,0.131182543106519,-0.00126595076622199,-0.259761151447704,-17.0258978498314,-0.308323656810399
"21","Other HICs",1880385.93710273,5.22378355480126,0.00153628209708183,0.504708252693966,-87.3798740276222,-2.83786472040791
"22","Other LICs",2046727.11104506,0.919757167765989,-0.00252861069326037,-0.65682775076452,-5.36235975287929,-3.71985600557656
"23","Other LMICs",15447259.1924512,4.58522412582358,-0.000580280924444986,-0.156808312147039,-178.951043160302,-7.3949074445538
"24","Other UMICs",4147262.53516214,4.18403668753432,0.00156561960648775,0.382679169621862,-89.7162339331699,-5.58787424420553
