"","Group","Country","Scenario","Benefit_cum","Pop_cum"
"1","Bin0","Belgium","Cash",0,0
"2","Bin0","Brazil","Cash",0,0
"3","Bin0","China","Cash",0,0
"4","Bin0","Germany","Cash",0,0
"5","Bin0","Denmark","Cash",0,0
"6","Bin0","Spain","Cash",0,0
"7","Bin0","Finland","Cash",0,0
"8","Bin0","France","Cash",5.20820547042941e-05,3.00246776287993e-05
"9","Bin0","United Kingdom","Cash",0,0
"10","Bin0","Indonesia","Cash",0,0
"11","Bin0","India","Cash",0.000149929388746302,9.7315331418034e-05
"12","Bin0","Ireland","Cash",0,0
"13","Bin0","Italy","Cash",0,0
"14","Bin0","Japan","Cash",0,0
"15","Bin0","Luxembourg","Cash",0,0
"16","Bin0","Mexico","Cash",0,0
"17","Bin0","Russian Federation","Cash",6.26405941278553e-05,4.31021673722025e-05
"18","Bin0","Turkiye","Cash",4.14441155438872e-05,1.10353822350623e-05
"19","Bin0","United States","Cash",0,0
"20","Bin0","South Africa","Cash",0.000816317160639781,0.000510945643920642
"21","Bin0","Belgium","SP_current",0,0
"22","Bin0","Brazil","SP_current",0,0
"23","Bin0","China","SP_current",0,0
"24","Bin0","Germany","SP_current",0,0
"25","Bin0","Denmark","SP_current",0,0
"26","Bin0","Spain","SP_current",0,0
"27","Bin0","Finland","SP_current",0,0
"28","Bin0","France","SP_current",4.47321832141777e-05,3.00246776287993e-05
"29","Bin0","United Kingdom","SP_current",0,0
"30","Bin0","Indonesia","SP_current",0,0
"31","Bin0","India","SP_current",0.000106101672599777,9.7315331418034e-05
"32","Bin0","Ireland","SP_current",0,0
"33","Bin0","Italy","SP_current",0,0
"34","Bin0","Japan","SP_current",0,0
"35","Bin0","Luxembourg","SP_current",0,0
"36","Bin0","Mexico","SP_current",0,0
"37","Bin0","Russian Federation","SP_current",5.80549515127709e-05,4.31021673722025e-05
"38","Bin0","Turkiye","SP_current",3.56843949477016e-05,1.10353822350623e-05
"39","Bin0","United States","SP_current",0,0
"40","Bin0","South Africa","SP_current",0.0006517974377507,0.000510945643920642
"41","Bin0","Belgium","SP_covid",0,0
"42","Bin0","Brazil","SP_covid",0,0
"43","Bin0","China","SP_covid",0,0
"44","Bin0","Germany","SP_covid",0,0
"45","Bin0","Denmark","SP_covid",0,0
"46","Bin0","Spain","SP_covid",0,0
"47","Bin0","Finland","SP_covid",0,0
"48","Bin0","France","SP_covid",3.00246776287993e-05,3.00246776287993e-05
"49","Bin0","United Kingdom","SP_covid",0,0
"50","Bin0","Indonesia","SP_covid",0,0
"51","Bin0","India","SP_covid",9.7315331418034e-05,9.7315331418034e-05
"52","Bin0","Ireland","SP_covid",0,0
"53","Bin0","Italy","SP_covid",0,0
"54","Bin0","Japan","SP_covid",0,0
"55","Bin0","Luxembourg","SP_covid",0,0
"56","Bin0","Mexico","SP_covid",0,0
"57","Bin0","Russian Federation","SP_covid",4.31021673722025e-05,4.31021673722025e-05
"58","Bin0","Turkiye","SP_covid",2.92074338964353e-05,1.10353822350623e-05
"59","Bin0","United States","SP_covid",0,0
"60","Bin0","South Africa","SP_covid",0.000514389020858328,0.000510945643920642
"61","Bin1","Belgium","Cash",0,0
"62","Bin1","Brazil","Cash",0,0
"63","Bin1","China","Cash",0,0
"64","Bin1","Germany","Cash",0,0
"65","Bin1","Denmark","Cash",0,0
"66","Bin1","Spain","Cash",0,0
"67","Bin1","Finland","Cash",0,0
"68","Bin1","France","Cash",5.58942746115595e-05,3.22223765179004e-05
"69","Bin1","United Kingdom","Cash",0,0
"70","Bin1","Indonesia","Cash",0,0
"71","Bin1","India","Cash",0.000156733241536745,0.000101731538238845
