"","Explicit","Implicit_prod","Implicit_cons","Null"
"AFG",395.747763988979,1677.78206145093,1677.78206145093,0
"ALB",81.1093028006182,906.548301851048,906.548301851048,0
"ARE",0,21052.7093702734,21052.7093702734,0
"ARG",11618.1761258079,32966.0183799702,32966.0183799702,0
"ARM",11.2200831266437,956.366383753258,956.366383753258,0
"AUS",6649.39991222523,35916.7855547481,35916.7855547481,0
"AUT",1209.04272113549,5353.72058543338,5353.72058543338,0
"AZE",1965.18768973101,6940.68061173579,6940.68061173579,0
"BEL",3031.00170987151,8769.06084331019,8769.06084331019,0
"BEN",153.419412182027,1060.13445802816,1060.13445802816,0
"BFA",325.683011324144,491.324214680362,491.324214680362,0
"BGD",13210.661954035,12979.916741978,12979.916741978,0
"BGR",1142.9000321974,5495.16224971471,5495.16224971471,0
"BLR",1562.4201025975,10606.163069082,10606.163069082,0
"BOL",1965.89193846757,4698.47684406422,4698.47684406422,0
"BRA",1827.67391797577,60485.6283583322,60485.6283583322,0
"BWA",0,899.456241609653,899.456241609653,0
"CAF",11.761619538014,27.5720581455051,27.5720581455051,0
"CAN",1605.37188659729,33133.1519674262,33133.1519674262,0
"CHE",0,4176.07427001739,4176.07427001739,0
"CHL",1737.02870685466,19188.7532981591,19188.7532981591,0
"CHN",218520.889446814,1784553.60913505,1784553.60913505,0
"CIV",138.550228328354,2269.69370941108,2269.69370941108,0
"CMR",243.979095783411,1623.53246955529,1623.53246955529,0
"COD",0,452.88378363085,452.88378363085,0
"COG",107.116832613285,470.540124800199,470.540124800199,0
"COL",4446.32313798961,26636.9074731707,26636.9074731707,0
"COM",7.00671843504797,10.5789199247271,10.5789199247271,0
"CRI",48.178231279546,1947.44324006431,1947.44324006431,0
"CYP",259.139458370605,789.382247611151,789.382247611151,0
"CZE",1969.17100413741,8906.60275738105,8906.60275738105,0
"DEU",33558.7003973437,77871.8639013542,77871.8639013542,0
"DNK",2253.9572834065,2164.40504191873,2164.40504191873,0
"DOM",1269.23253281047,8417.97136200969,8417.97136200969,0
