"","Group","Reg","SPScenario","value"
"1","D1","Belgium","Cash",41.6197579159866
"2","D1","Brazil","Cash",74.881661309776
"3","D1","China","Cash",23.0344580217537
"4","D1","Germany","Cash",57.3847685789708
"5","D1","Denmark","Cash",58.8947194150559
"6","D1","Spain","Cash",54.5042451609944
"7","D1","Finland","Cash",59.9380152495507
"8","D1","France","Cash",88.1072836529593
"9","D1","United Kingdom","Cash",62.8654279756586
"10","D1","Indonesia","Cash",31.7572864501294
"11","D1","India","Cash",36.4609926101221
"12","D1","Ireland","Cash",75.7329756192695
"13","D1","Italy","Cash",56.550437773645
"14","D1","Japan","Cash",56.5722932142224
"15","D1","Luxembourg","Cash",48.039004516
"16","D1","Mexico","Cash",58.4234824045832
"17","D1","Russian Federation","Cash",80.8627908340222
"18","D1","Turkiye","Cash",22.7181618511534
"19","D1","United States","Cash",74.8284828467682
"20","D1","South Africa","Cash",85.4982665899982
"21","D1","Belgium","SP_current",84.0477774150992
"22","D1","Brazil","SP_current",76.7912153300361
"23","D1","China","SP_current",62.7658354285768
"24","D1","Germany","SP_current",68.5439347883068
"25","D1","Denmark","SP_current",99.8569442932548
"26","D1","Spain","SP_current",61.1479799910921
"27","D1","Finland","SP_current",79.4890762454149
"28","D1","France","SP_current",89.6726572267606
"29","D1","United Kingdom","SP_current",82.9872954328677
"30","D1","Indonesia","SP_current",53.4457985304076
"31","D1","India","SP_current",87.2971451277697
"32","D1","Ireland","SP_current",91.2524242406011
"33","D1","Italy","SP_current",69.0044323227861
"34","D1","Japan","SP_current",56.5722932142224
"35","D1","Luxembourg","SP_current",79.1107337789849
"36","D1","Mexico","SP_current",61.9821415283302
"37","D1","Russian Federation","SP_current",86.8659621323496
"38","D1","Turkiye","SP_current",44.3040922970997
"39","D1","United States","SP_current",74.8284828467682
"40","D1","South Africa","SP_current",99.9785093825
"41","D1","Belgium","SP_covid",100
"42","D1","Brazil","SP_covid",98.656855622005
"43","D1","China","SP_covid",100
"44","D1","Germany","SP_covid",100
"45","D1","Denmark","SP_covid",100
"46","D1","Spain","SP_covid",100
"47","D1","Finland","SP_covid",100
"48","D1","France","SP_covid",100
"49","D1","United Kingdom","SP_covid",100
"50","D1","Indonesia","SP_covid",100
"51","D1","India","SP_covid",100
"52","D1","Ireland","SP_covid",100
"53","D1","Italy","SP_covid",100
"54","D1","Japan","SP_covid",86.9869097440312
"55","D1","Luxembourg","SP_covid",100
"56","D1","Mexico","SP_covid",84.295715863395
"57","D1","Russian Federation","SP_covid",100
"58","D1","Turkiye","SP_covid",100
"59","D1","United States","SP_covid",100
"60","D1","South Africa","SP_covid",100
"61","D2","Belgium","Cash",24.6667856073019
"62","D2","Brazil","Cash",56.4958135627605
"63","D2","China","Cash",19.849263248636
"64","D2","Germany","Cash",33.3227067367396
"65","D2","Denmark","Cash",54.7244662760205
"66","D2","Spain","Cash",42.9095930028406
"67","D2","Finland","Cash",53.4516182772063
"68","D2","France","Cash",78.051299791511
"69","D2","United Kingdom","Cash",69.6858431498103
"70","D2","Indonesia","Cash",27.0190060034304
"71","D2","India","Cash",34.2721836615652
"72","D2","Ireland","Cash",73.5395969110642
"73","D2","Italy","Cash",47.8570814277009
"74","D2","Japan","Cash",47.8551727560302
"75","D2","Luxembourg","Cash",38.7901266236354
"76","D2","Mexico","Cash",48.0240576786884
"77","D2","Russian Federation","Cash",75.2549656107972
"78","D2","Turkiye","Cash",16.6284331705421
"79","D2","United States","Cash",79.699521073833
"80","D2","South Africa","Cash",82.5764276961032
"81","D2","Belgium","SP_current",60.7893885690651
