"","countryname","GDP","TotExpSub","TotImpSub","TotSub","Exp_gdpshare","Imp_gdpshare","Tot_gdpshare"
"1","Belgium",554.85201346,3722.79649457884,8769.06084368288,12491.8573382617,0.00670953047707958,0.0158043237312953,0.0225138542083749
"2","Brazil",1953.70718816,2105.7340302302,60485.6283550192,62591.3623852494,0.00107781454815313,0.030959413325384,0.0320372278735371
"3","China",16292.47432701,244862.417338278,1784553.60890274,2029416.02624101,0.0150291731276409,0.109532387351642,0.124561560479283
"4","Denmark",371.97794362,2253.95728329,2164.40504177021,4418.36232506021,0.00605938422411563,0.00581863811791295,0.0118780223420286
"5","Finland",279.83095436,1338.45991888326,145.841331936345,1484.30125081961,0.00478310171919488,0.000521176552000467,0.00530427827119535
"6","France",2793.48966177,16281.566832484,41843.8241491015,58125.3909815855,0.00582839702444709,0.0149790510134155,0.0208074480378626
"7","Germany",3928.40614646,39405.9893236835,77871.8639020238,117277.853225707,0.0100310374881155,0.0198227629727635,0.029853800460879
"8","India",2962.43700581,29017.2457841934,285318.011245297,314335.25702949,0.00979505917840079,0.0963119251770499,0.106106984355451
"9","Indonesia",1140.99467434,70973.6331017985,105265.686049594,176239.319151393,0.0622032991896765,0.0922578241747574,0.154461123364434
"10","Ireland",521.10466982,190.826774621573,2866.66799581095,3057.49477043252,0.000366196631259299,0.00550113664650357,0.00586733327776287
"11","Italy",2051.75987177,8671.95531482342,48847.5813647623,57519.5366795857,0.00422659368386143,0.0238076502210869,0.0280342439049483
"12","Japan",4826.96593961,30865.1908316953,250973.895267452,281839.086099148,0.00639432538324252,0.0519941301445624,0.058388455527805
"13","Luxembourg",76.55069053,518.424349240488,2707.3478123097,3225.77216155019,0.00677230140774914,0.0353667327304997,0.0421390341382488
"14","Mexico",1169.33928361,13249.8513310793,75731.9693446398,88981.8206757191,0.0113310580742436,0.0647647525454195,0.0760958106196632
"15","South Africa",395.99110512,4602.96132092739,50599.0341201693,55201.9954410967,0.0116239007932578,0.12777820881819,0.139402109611448
"16","Spain",1382.67239195,874.849594950386,22701.193950394,23576.0435453443,0.00063272370233456,0.0164183461552872,0.0170510698576217
"17","Turkiye",912.05437283,53643.438369348,84789.6995355501,138433.137904898,0.0588160530417705,0.0929656192233993,0.15178167226517
"18","United Kingdom",2905.24028794,16817.7917972486,50353.1466616781,67170.9384589267,0.00578877825254636,0.0173318354666566,0.0231206137192029
"19","United States",21219.99413208,2689.43388279548,684627.997333101,687317.431215897,0.000126740557327942,0.032263345271057,0.032390085828385
"20","Other HICs",11791.73876172,105959.288201235,326796.927459405,432756.21566064,0.00898589176222379,0.0277140576180587,0.0366999493802825
"21","Other LICs",409.3948978,9313.91839789966,12961.9474415233,22275.8658394229,0.0227504505990442,0.0316612334720779,0.0544116840711221
"22","Other LMICs",4093.92537338,191356.140803158,368743.352316496,560099.493119654,0.0467414824040066,0.0900708534440277,0.136812335848034
"23","Other UMICs",3255.81428844,107992.099093144,311627.382798719,419619.481891863,0.0331689984519627,0.0957141148698727,0.128883113321835
